"ISO3","Year","Region","country","iso3c","Population","UrbanPopulation","BirthRatePer1K","FertilityRate","PrimarySchoolAge","TotalTrade","FDIIn","PublicEdExpend","PublicHealthExpend","WomenBusLawIndex","MilitaryExpenditures","CO2Emissions"
"AFG",2019,"South Asia","Afghanistan","AFG",37769499,25.754,36.466,4.87,7,NA,0.124495985791329,NA,0.49705607,38.125,1.17096838242129,0.297563650500103
"ALB",2019,"Europe & Central Asia","Albania","ALB",2854191,61.229,10.343,1.414,6,76.2791946495763,7.79792048386519,3.91623997688293,2.86730385,91.25,1.28080596201472,1.74946245713759
"DZA",2019,"Middle East & North Africa","Algeria","DZA",42705368,73.189,23.298,2.988,6,51.8097384415762,0.804144058246544,6.03690671920776,4.06651545,57.5,5.99969025937654,3.99440182789199
"ASM",2019,"East Asia & Pacific","American Samoa","ASM",47321,87.147,NA,NA,6,156.568778979907,NA,NA,NA,NA,NA,NA
"AND",2019,"Europe & Central Asia","Andorra","AND",76343,87.984,7,NA,6,NA,NA,3.15060997009277,5.30793858,NA,NA,6.2872038038851
"AGO",2019,"Sub-Saharan Africa","Angola","AGO",32353588,66.177,39.725,5.442,6,57.8295381183036,-5.7808131444487,2.07306432723999,1.09448123,73.125,1.73907015919852,0.753638205444169
"ATG",2019,"Latin America & Caribbean","Antigua and Barbuda","ATG",92117,24.506,11.485,1.468,5,137.625175755884,7.43332407630785,3.4573450088501,2.55713224,66.25,NA,5.52558159731646
"ARG",2019,"Latin America & Caribbean","Argentina","ARG",44938712,91.991,14.783,1.994,6,32.6306150458499,1.48500687570697,4.77759981155396,6.05942106,76.25,0.699696134379197,3.74202981162433
"ARM",2019,"Europe & Central Asia","Armenia","ARM",2820602,63.219,12.892,1.575,6,96.1141541288708,0.736361516844353,2.57191228866577,1.41167367,85,4.78770584078564,2.1965523671897
"ABW",2019,"Latin America & Caribbean","Aruba","ABW",106442,43.546,9.138,1.486,6,145.343572735289,-2.21528256776249,NA,NA,NA,NA,NA
"AUS",2019,"East Asia & Pacific","Australia","AUS",25334826,86.124,12.1,1.657,5,45.7489633556611,2.79345368293896,5.13429021835327,7.5498395,96.875,1.88104345418486,15.5990453615115
"AUT",2019,"Europe & Central Asia","Austria","AUT",8879920,58.515,9.6,1.46,6,107.892514611522,-2.78770571216157,5.21750020980835,7.84675264,94.375,0.75035965749035,7.26333120118199
"AZE",2019,"Europe & Central Asia","Azerbaijan","AZE",10024283,56.031,14.1,1.81,6,85.8181454084561,3.12183056112494,3.1764600276947,1.27820647,78.75,3.87341170306515,3.54349533028946
"BHS",2019,"Latin America & Caribbean","Bahamas, The","BHS",404557,83.132,11.487,1.398,5,72.3992434162665,3.6927818725524,2.7009744644165,3.08020306,81.25,NA,6.48289363427156
"BHR",2019,"Middle East & North Africa","Bahrain","BHR",1494188,89.394,13.198,1.857,6,141.700834964514,4.00518862174685,2.38460445404053,2.3075155,46.25,4.02986101554975,22.063354812112
"BGD",2019,"South Asia","Bangladesh","BGD",165516222,37.405,18.35,2.031,6,31.5780512814675,0.543233710331666,1.68138802051544,0.51866281,49.375,1.24410082330294,0.559733655592985
"BRB",2019,"Latin America & Caribbean","Barbados","BRB",280180,31.158,10.885,1.623,5,80.8550673082324,4.03231784838329,4.11122989654541,2.77706695,76.875,NA,4.16614319366122
"BLR",2019,"Europe & Central Asia","Belarus","BLR",9419758,79.044,9.3,1.382,6,130.850132114123,1.97686317571178,4.97948980331421,4.12526941,75.625,1.20086453042742,6.12342695003417
"BEL",2019,"Europe & Central Asia","Belgium","BEL",11488980,98.041,10.2,1.6,6,164.166215073989,-3.98979364981819,6.33397006988525,8.10391235,100,0.888487292252087,8.09379074556662
"BLZ",2019,"Latin America & Caribbean","Belize","BLZ",389095,45.866,18.886,2.106,5,102.201303476517,3.93457925829276,5.90775012969971,4.08774805,79.375,1.01069424875085,1.89208291034323
"BEN",2019,"Sub-Saharan Africa","Benin","BEN",12290444,47.861,37.675,5.13,6,63.68133231423,1.51631080442569,3.00273609161377,0.54099989,74.375,0.473313905552082,0.60823677321991
"BMU",2019,"North America","Bermuda","BMU",63911,100,8.2,1.3,5,77.5601016506443,0.0591344675296509,1.92679822444916,NA,NA,NA,NA
"BTN",2019,"South Asia","Bhutan","BTN",767459,41.612,12.871,1.46,6,76.1235174155789,0.475617070464636,4.7613525390625,2.65109873,75,NA,1.86720072342627
"BOL",2019,"Latin America & Caribbean","Bolivia","BOL",11777315,69.773,22.323,2.688,6,56.3973067281247,-0.529735011311977,8.09103965759277,4.89661789,88.75,1.4512711273205,1.85346150629409
"BIH",2019,"Europe & Central Asia","Bosnia and Herzegovina","BIH",3360711,48.626,8.819,1.368,6,94.5161278874242,2.18661377542075,NA,6.21883726,85,0.818512096528728,6.28566395622831
"BWA",2019,"Sub-Saharan Africa","Botswana","BWA",2499702,70.172,24.887,2.883,6,83.0929813601175,0.559653480699367,8.39899635314941,4.37294102,63.75,3.08122244554008,2.8796632558601
"BRA",2019,"Latin America & Caribbean","Brazil","BRA",211782878,86.824,13.633,1.703,6,28.8902578692948,3.69267321290506,5.96346998214722,3.91701889,81.875,1.38279724638797,2.05077012882977
"VGB",2019,"Latin America & Caribbean","British Virgin Islands","VGB",30610,48.116,7.29,0.948,5,NA,NA,2.63095998764038,NA,NA,NA,NA
"BRN",2019,"East Asia & Pacific","Brunei Darussalam","BRN",438048,77.942,14.585,1.819,6,108.509658357959,2.77118007919323,NA,2.07140136,53.125,3.07858724948281,16.111932938856
"BGR",2019,"Europe & Central Asia","Bulgaria","BGR",6975761,75.347,8.8,1.58,7,124.688701193655,3.22476396917176,4.19715023040771,4.19368887,90.625,3.13216297473719,5.61371010274005
"BFA",2019,"Sub-Saharan Africa","Burkina Faso","BFA",20951639,29.98,36.689,4.971,6,60.4086928806888,1.0164787374761,5.40713691711426,2.2500782,82.5,2.23847580473471,0.26950158887331
"BDI",2019,"Sub-Saharan Africa","Burundi","BDI",11874838,13.366,36.323,5.271,7,29.0262100000001,0.040556947720545,5.34668445587158,2.39167857,73.125,2.8078168112503,0.0595713389942667
"CPV",2019,"Sub-Saharan Africa","Cabo Verde","CPV",577030,66.195,17.463,1.932,6,103.602656463726,5.45788755667341,4.13851022720337,3.24621511,86.25,0.490772924543077,1.06961509800184
"KHM",2019,"East Asia & Pacific","Cambodia","KHM",16207746,23.805,20.28,2.402,6,123.556523773641,13.5220209647967,2.82565474510193,1.6762718,75,2.19648130355774,1.11633042620485
"CMR",2019,"Sub-Saharan Africa","Cameroon","CMR",25782341,56.968,36.147,4.623,6,43.3785132480415,2.5831964059044,3.04739952087402,0.40687224,60,1.06457837839838,0.370691707164993
"CAN",2019,"North America","Canada","CAN",37601230,81.482,9.9,1.47,6,66.1714852804959,2.80676687017653,4.77293014526367,7.6410737,100,1.28451224366918,15.0527469447143
"CYM",2019,"Latin America & Caribbean","Cayman Islands","CYM",66134,100,9.8,NA,5,114.838539695171,18.1830873197548,2.21589660644531,NA,NA,NA,NA
"CAF",2019,"Sub-Saharan Africa","Central African Republic","CAF",5209324,41.77,41.92,6.008,6,50.0658000014868,1.15252967682269,1.76792073249817,0.81912857,76.875,1.78995351694328,0.0451882048419334
"TCD",2019,"Sub-Saharan Africa","Chad","TCD",16126866,23.279,44.229,6.412,6,74.5705255558558,5.00787801342363,2.37245798110962,0.69896412,66.25,2.13540448781191,0.0981963885605548
"CHL",2019,"Latin America & Caribbean","Chile","CHL",19039485,87.643,11.855,1.545,6,57.5468575300305,4.87406503831311,5.61996984481812,4.7519598,77.5,1.86200539727185,4.82762007480769
"CHN",2019,"East Asia & Pacific","China","CHN",1407745000,60.308,10.41,1.496,6,35.8900960338084,1.31071593248213,3.54105472564697,2.99503422,75.625,1.68291101151296,7.64543578560038
"COL",2019,"Latin America & Caribbean","Colombia","COL",50187406,81.104,14.682,1.765,6,37.558533980839,4.33058240907475,4.51069021224976,5.7730794,81.875,3.14565669372153,1.57782014077396
"COM",2019,"Sub-Saharan Africa","Comoros","COM",790986,29.164,30.4,4.125,6,42.2680785350184,0.359894031404716,NA,0.83244753,65,NA,0.412396679587249
"COD",2019,"Sub-Saharan Africa","Congo, Dem. Rep.","COD",89906890,45.046,42.656,6.253,6,55.2351580399854,2.60931448015292,NA,0.5603224,78.75,0.700795464424695,0.0337148799163223
"COG",2019,"Sub-Saharan Africa","Congo, Rep.","COG",5570733,67.373,31.676,4.296,6,91.5757577206648,-10.2147373124797,3.55946898460388,1.12474525,49.375,2.34540553524246,1.25766214248646
"CRI",2019,"Latin America & Caribbean","Costa Rica","CRI",5084532,80.076,12.847,1.632,6,65.7605300175717,4.22094016660926,6.73808002471924,5.23799706,83.125,NA,1.56482445188662
"CIV",2019,"Sub-Saharan Africa","Cote d'Ivoire","CIV",26147551,51.239,34.554,4.538,6,44.5274919384227,1.41719980536463,3.44067001342773,0.99362508,83.125,0.915612640909431,0.414528305155615
"HRV",2019,"Europe & Central Asia","Croatia","HRV",4065253,57.242,8.9,1.47,7,101.375238725593,6.41082614786897,3.95437002182007,5.55397558,93.75,1.60930358927584,4.06451947763153
"CUB",2019,"Latin America & Caribbean","Cuba","CUB",11316697,77.109,9.752,1.551,6,22.8207944494506,NA,9.04696941375732,9.86756992,NA,NA,2.15774090266798
"CUW",2019,"Latin America & Caribbean","Curacao","CUW",157441,89.098,10.1,1.6,6,NA,6.71586643004897,6.62462139129639,NA,NA,NA,NA
"CYP",2019,"Europe & Central Asia","Cyprus","CYP",1228836,66.805,10.794,1.332,6,151.944491675827,203.625433364883,5.21296977996826,3.83588576,91.25,1.78674474437728,5.85187933947248
"CZE",2019,"Europe & Central Asia","Czechia","CZE",10671870,73.921,10.5,1.71,6,141.771023662617,4.25745331930823,4.54246997833252,6.43899822,93.75,1.15229255021758,9.15611790623386
"DNK",2019,"Europe & Central Asia","Denmark","DNK",5814422,87.994,10.5,1.7,6,110.224828604234,-1.09718546490012,6.9096999168396,8.4725647,100,1.29509238115422,5.10738642637222
"DJI",2019,"Middle East & North Africa","Djibouti","DJI",1073994,77.915,22.748,2.891,6,320.939002998625,5.66550040200762,NA,0.97343284,71.25,NA,0.398763866464803
"DMA",2019,"Latin America & Caribbean","Dominica","DMA",71428,70.786,13.272,1.611,5,NA,10.3084171305166,5.53449010848999,3.30796671,62.5,NA,2.43741949935599
"DOM",2019,"Latin America & Caribbean","Dominican Republic","DOM",10881882,81.828,19.291,2.344,6,51.0111449209557,3.1809718229246,4.04276895523071,2.59220481,86.25,0.689583104134605,2.36863439614581
"ECU",2019,"Latin America & Caribbean","Ecuador","ECU",17343740,63.986,17.338,2.088,6,46.0768211909258,0.905594789228823,4.22565984725952,4.82940865,89.375,2.18363240921904,2.28505501120289
"EGY",2019,"Middle East & North Africa","Egypt, Arab Rep.","EGY",105618671,42.73,23.568,3.001,6,41.1240171551108,2.82732944960686,NA,1.36398911,45,1.18097179684711,2.06316078338081
"SLV",2019,"Latin America & Caribbean","El Salvador","SLV",6280217,72.746,16.416,1.838,7,76.0420130991468,2.59024369040438,3.38710999488831,4.71206713,88.75,1.18000962074512,1.25994054027114
"GNQ",2019,"Sub-Saharan Africa","Equatorial Guinea","GNQ",1553031,72.627,31.874,4.429,7,94.8787924253545,3.97995245506153,NA,0.64342248,51.875,1.30196407170833,3.13998883473672
"ERI",2019,"Sub-Saharan Africa","Eritrea","ERI",3498818,40.712,28.941,3.997,6,NA,NA,NA,0.78535897,69.375,NA,0.199267295412336
"EST",2019,"Europe & Central Asia","Estonia","EST",1326898,69.051,10.6,1.66,7,143.754530253766,9.82202103786608,5.29571008682251,5.07566547,97.5,2.04936301781519,7.58212010267556
"SWZ",2019,"Sub-Saharan Africa","Eswatini","SWZ",1169613,23.981,25.118,2.921,6,89.188621687827,2.86531064179099,5.69914817810059,3.42137909,46.25,1.89023924327776,0.999903386846761
"ETH",2019,"Sub-Saharan Africa","Ethiopia","ETH",114120594,21.225,33.123,4.323,7,28.8153010070423,2.65736016138456,4.48086929321289,0.73088509,71.875,0.579949536836241,0.155169188831947
"FRO",2019,"Europe & Central Asia","Faroe Islands","FRO",51681,42.225,13.2,2.408,NA,108.623245950251,NA,NA,NA,NA,NA,NA
"FJI",2019,"East Asia & Pacific","Fiji","FJI",918465,56.75,19.962,2.519,6,107.411463822998,5.91952095846727,5.11768341064453,2.49526525,79.375,1.43529925860875,1.51720533716581
"FIN",2019,"Europe & Central Asia","Finland","FIN",5521606,85.446,8.3,1.35,7,79.605433214652,5.81407868801805,6.41695022583008,7.35499382,97.5,1.35371761625629,7.42303960115952
"FRA",2019,"Europe & Central Asia","France","FRA",67388001,80.709,11.2,1.86,6,64.1414731902028,1.96049400180615,5.35443019866943,8.34206104,100,1.8364614707329,4.46016494835631
"PYF",2019,"East Asia & Pacific","French Polynesia","PYF",299717,61.897,13.088,1.712,6,63.3061124024003,0.211401010736817,NA,NA,NA,NA,NA
"GAB",2019,"Sub-Saharan Africa","Gabon","GAB",2242785,89.741,28.354,3.615,6,73.4280894486644,9.20409835236532,2.8743097782135,1.66962576,57.5,1.58168467646335,2.35176354398661
"GMB",2019,"Sub-Saharan Africa","Gambia, The","GMB",2508883,61.931,34.281,4.869,7,53.2696525651825,3.9194379121789,2.65492939949036,1.30072176,69.375,0.769340979399031,0.241900479217245
"GEO",2019,"Europe & Central Asia","Georgia","GEO",3720161,59.039,13.451,2.011,6,118.599368307339,7.91323474836721,3.86666989326477,2.7172761,85.625,1.77655401596637,2.83579124666916
"DEU",2019,"Europe & Central Asia","Germany","DEU",83092962,77.376,9.4,1.54,6,88.3183894580195,1.90205922776563,5.11676979064941,9.02511978,100,1.26215025653133,7.9271876239049
"GHA",2019,"Sub-Saharan Africa","Ghana","GHA",31522290,56.707,28.572,3.683,6,76.8248018271755,5.67741655020323,3.15307116508484,1.38440955,75,0.343818434751391,0.572264895729339
"GIB",2019,"Europe & Central Asia","Gibraltar","GIB",32685,100,11.015,1.863,5,NA,NA,NA,NA,NA,NA,NA
"GRC",2019,"Europe & Central Asia","Greece","GRC",10721582,79.388,7.8,1.34,6,81.885923258543,2.43584347799923,3.58606004714966,3.99966383,97.5,2.62239872406513,5.59528435262632
"GRL",2019,"Europe & Central Asia","Greenland","GRL",56225,87.052,15.1,2.08,NA,92.1907515607492,NA,NA,NA,NA,NA,NA
"GRD",2019,"Latin America & Caribbean","Grenada","GRD",122724,36.396,16.617,2.042,5,NA,16.3973140363487,NA,2.04134059,80.625,NA,2.82096411459861
"GUM",2019,"East Asia & Pacific","Guam","GUM",168624,94.859,16.624,2.623,6,77.8353754319824,NA,NA,NA,NA,NA,NA
"GTM",2019,"Latin America & Caribbean","Guatemala","GTM",16604026,51.439,22.858,2.61,7,45.5167427491815,1.51707101923107,3.19297003746033,2.3772223,73.75,0.430081218533133,1.14537281500282
"GIN",2019,"Sub-Saharan Africa","Guinea","GIN",12877539,36.5,35.436,4.576,7,78.4153132291929,0.330286821833642,1.85812997817993,0.91611725,73.75,1.44513568163751,0.350765779082478
"GNB",2019,"Sub-Saharan Africa","Guinea-Bissau","GNB",1970457,43.777,32.093,4.172,6,55.3725855838767,4.97754712507096,NA,0.53418714,42.5,1.56801327840185,0.16508860634868
"GUY",2019,"Latin America & Caribbean","Guyana","GUY",798753,26.689,20.828,2.44,6,NA,32.7649489760172,NA,2.93102026,86.875,1.29961278504611,3.50033114116629
"HTI",2019,"Latin America & Caribbean","Haiti","HTI",11160438,56.192,24.304,2.919,6,44.5687187734548,0.499464210439719,1.75941300392151,0.40745706,61.25,0.0820730320346067,0.297241022260954
"HND",2019,"Latin America & Caribbean","Honduras","HND",9958829,57.73,21.628,2.427,6,98.0275897083463,3.80668670933849,5.93245983123779,2.87275672,75,1.62394902602413,1.02385531471622
"HKG",2019,"East Asia & Pacific","Hong Kong SAR, China","HKG",7507900,100,7,1.064,6,353.743521139731,16.0571325877868,3.81017994880676,NA,89.375,NA,NA
"HUN",2019,"Europe & Central Asia","Hungary","HUN",9771141,71.644,9.5,1.55,7,160.751343279331,60.0414042352445,4.22488021850586,4.30161667,96.875,1.33550194403956,4.8368762665486
"ISL",2019,"Europe & Central Asia","Iceland","ISL",360563,93.855,12.3,1.74,6,82.8627457813882,-2.25459249123475,7.60675001144409,7.05892563,100,NA,4.54345010442003
"IND",2019,"South Asia","India","IND",1383112050,34.472,17.049,2.109,6,39.9054035298391,1.78482633953521,NA,0.98541063,71.875,2.54862217391745,1.75253436625037
"IDN",2019,"East Asia & Pacific","Indonesia","IDN",269582878,55.985,16.91,2.215,7,37.6277775362938,2.23336204282241,2.84207797050476,1.42156744,64.375,0.728563743551525,2.24528577070833
"IRN",2019,"Middle East & North Africa","Iran, Islamic Rep.","IRN",86564202,75.391,15.118,1.77,6,50.7543343501077,0.531641985022407,3.25775003433228,2.94442177,31.25,2.00613630912015,7.22298000274987
"IRQ",2019,"Middle East & North Africa","Iraq","IRQ",41563520,70.678,28.078,3.604,6,68.9899384202806,-1.31640616709339,NA,2.10135269,45,3.27892893664877,4.34726413932218
"IRL",2019,"Europe & Central Asia","Ireland","IRL",4934340,63.405,12,1.71,NA,252.495271979574,-11.689488034703,NA,4.98021936,97.5,0.278633920598915,7.25774875667262
"IMN",2019,"Europe & Central Asia","Isle of Man","IMN",83933,52.735,8.888,1.614,NA,NA,NA,NA,NA,NA,NA,NA
"ISR",2019,"Middle East & North Africa","Israel","ISR",9054000,92.501,20.1,3.01,6,56.2695344799558,4.31398063025056,6.05673980712891,4.8316865,80.625,5.0528461529668,6.9357521537442
"ITA",2019,"Europe & Central Asia","Italy","ITA",59729081,70.736,7,1.27,6,59.8789802234549,1.55049869758514,4.09527015686035,6.38360453,97.5,1.31150962472626,5.31103098673157
"JAM",2019,"Latin America & Caribbean","Jamaica","JAM",2813773,55.985,11.994,1.37,6,90.1106076335994,4.20330596139907,5.16364002227783,3.97861576,68.125,1.68152578167608,2.98328969678791
"JPN",2019,"East Asia & Pacific","Japan","JPN",126633000,91.698,7,1.36,6,35.2164181084145,0.780785313301259,3.15533995628357,9.04153156,78.75,0.99223146563367,8.47840057488964
"JOR",2019,"Middle East & North Africa","Jordan","JOR",10698683,91.203,22.6,2.918,6,85.8214387441846,1.63971263094598,2.98846006393433,3.86783719,40.625,4.56624818837005,2.16362144761182
"KAZ",2019,"Europe & Central Asia","Kazakhstan","KAZ",18513673,57.54,21.73,2.9,7,64.8586165517565,2.05367649290766,2.8569700717926,1.67075241,69.375,1.02091636689134,11.0508703486337
"KEN",2019,"Sub-Saharan Africa","Kenya","KEN",50951450,27.507,28.46,3.469,6,31.7594667253776,0.468168547481475,4.57799243927002,2.00519562,80.625,1.11257115441069,0.382362032876395
"KIR",2019,"East Asia & Pacific","Kiribati","KIR",124241,54.835,28.064,3.368,6,119.84126984127,-0.318686670832408,13.5741233825684,9.37129021,76.25,NA,0.592397034795277
"PRK",2019,"East Asia & Pacific","Korea, Dem. People's Rep.","PRK",25755441,62.134,13.487,1.84,7,NA,NA,NA,NA,NA,NA,2.15676369121383
"KOR",2019,"East Asia & Pacific","Korea, Rep.","KOR",51764822,81.43,5.9,0.918,6,75.757138965219,0.58339386057331,4.68465995788574,4.84622097,85,2.67129907792582,11.8252835873752
"KWT",2019,"Middle East & North Africa","Kuwait","KWT",4441100,100,12.437,2.159,6,98.1829442370446,0.378596561610448,NA,4.72437525,26.25,5.42100598376451,21.1352142487222
